Brand,Model Name,Type,Listed Size,Waist,Inseam,Rise,Thigh,Knee,Leg Opening,Price,
Dickies,874,Trouser,33/33,35.6,33,27.5,25.1,20.8,18.1,$30,WEIRD
Our Legacy,Third Cut Jeans,Denim,33/33,35.6,33,27.5,12.5,10.4,9.1,€420,WEIRD
Carhartt WIP,Nolan Pant,Denim,32/32,34,32,12.3,13,-1,8.5,$128,
Brain Dead,Type 00 15.06 OZ Selvadge,Denim,32/31,33.5,31,13.5,13.5,11.25,10.5,$285,
Stussy,Big Ol Jean,Denim,32/31,35.6,30.5,13,14.8,-1,9.3,$160,SemiWEIRD
Gramicci,G Pant,Trouser,L,34,32,11,15,-1,9,$98,
Gramicci,OG Canvas Mountain Pant,Trouser,L,34,31,11,15,-1,10,$140,
Gramicci,Gadget Pant,Trouser,L,34,31,11,15,-1,9,$110,
Levi's,STF 501,Denim,32/32,33,32,12.25,11.25,9.2,8.5,$80,
Acne Studios,2021m,Denim,33/32,34.7,31.9,12.5,12.6,-1,11,$470,
Gap,90s Loose Khakis,Trouser,33/32,34.7,32,12.75,-1,-1,8.3,$70,
Gap,90s Loose Jeans,Denim,33/32,34.7,32,12.75,-1,-1,8.3,$80,
Madewell,Cotton-Wool Blend Trousers,Trouser,33/32,33,31,12.5,-1,-1,9.5,$148,
J. Crew,Giant-Fit Chino Pant,Trouser,33,33,30,13,-1,-1,10.25,$98,
Carhartt WIP,Landon Pant,Denim,33,36,30.7,13.6,14.4,-1,9.5,$118,
Bronson MFG,USN Herringbone Deck Pant,Trouser,34,33.9,31.5,14.2,14.45,-1,10.5,$70,
Bronson MFG,Canvas Climbing Pants,Trouser,L,35,29.7,15.4,15,-1,9.25,$44,
